,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,labels
0,0,0,2,12,3,0,0,0,0,0,11,14,0,0,0,0,0,0,15,6,0,0,0,0,0,0,15,2,4,0,0,0,0,2,16,16,16,12,2,0,0,2,15,7,1,8,9,0,0,0,12,9,1,9,12,0,0,0,1,15,16,13,4,0,6
1,0,0,13,13,13,12,4,0,0,1,16,5,5,9,4,0,0,4,13,0,2,1,0,0,0,5,14,11,16,13,2,0,0,5,15,6,0,9,8,0,0,0,3,0,0,10,8,0,0,3,14,5,7,15,1,0,0,1,9,14,15,4,0,0,5
2,0,0,0,12,8,0,6,3,0,0,4,16,3,3,15,3,0,0,12,10,0,12,8,0,0,8,15,5,8,16,4,0,0,10,16,16,16,16,10,0,0,0,4,5,15,1,0,0,0,0,0,8,11,0,0,0,0,0,0,12,6,0,0,0,4
3,0,0,1,11,10,0,0,0,0,0,11,16,13,3,0,0,0,2,16,14,14,16,10,0,0,2,13,16,16,16,8,0,0,0,0,2,0,16,7,0,0,0,0,0,2,16,3,0,0,0,0,4,15,12,0,0,0,0,0,13,8,0,0,0,9
4,0,0,1,10,14,13,2,0,0,0,9,15,13,16,5,0,0,0,0,0,0,11,5,0,0,0,0,0,4,13,0,0,0,0,8,16,16,13,2,0,0,0,8,14,16,10,1,0,0,0,0,12,7,0,0,0,0,0,0,14,2,0,0,0,7
5,0,0,12,16,16,12,0,0,0,0,6,4,10,13,1,0,0,0,0,0,13,9,0,0,0,0,5,9,16,16,12,0,0,3,16,16,11,3,0,0,0,0,7,13,0,0,0,0,0,0,11,8,0,0,0,0,0,0,16,3,0,0,0,0,7
6,0,0,10,15,13,8,0,0,0,1,12,4,11,10,0,0,0,0,0,8,13,3,0,0,0,3,13,16,5,0,0,0,0,1,8,13,16,13,2,0,0,0,0,0,1,13,6,0,0,5,10,8,8,16,2,0,0,0,10,16,16,6,0,0,3
7,0,0,12,16,6,0,0,0,0,3,15,12,12,0,0,0,0,6,12,8,12,0,0,0,0,3,14,11,10,0,0,0,0,0,5,16,3,0,0,0,0,0,13,12,0,0,0,0,0,8,16,12,7,5,2,0,0,0,12,13,10,10,4,0,2
8,0,0,0,10,6,0,0,0,0,0,4,16,2,3,0,0,0,0,13,8,7,14,0,0,0,7,15,0,13,14,5,0,0,14,15,14,16,16,9,0,0,13,16,15,16,6,0,0,0,0,1,9,14,0,0,0,0,0,0,14,10,0,0,0,4
9,0,0,5,13,16,10,1,0,0,7,16,16,16,16,7,0,0,0,5,2,11,14,5,0,0,0,0,10,15,6,0,0,0,0,9,16,13,2,0,0,0,0,4,11,15,14,0,0,0,0,2,2,13,16,1,0,0,0,5,14,15,9,0,0,3
10,0,0,0,8,14,5,0,0,0,0,0,9,16,14,2,0,0,0,0,11,16,13,1,0,0,0,6,16,16,7,0,0,0,3,13,16,16,4,0,0,0,3,11,15,16,12,0,0,0,0,0,10,16,15,3,0,0,0,0,8,16,15,6,0,1
11,0,0,7,16,13,4,0,0,0,1,11,0,6,15,3,0,0,6,9,0,0,13,4,0,0,2,14,5,8,16,5,0,0,0,4,12,10,6,8,0,0,0,0,0,0,4,8,0,0,0,2,4,0,8,7,0,0,0,10,16,16,10,1,0,9
12,0,5,16,15,5,0,0,0,0,2,12,15,16,0,0,0,0,0,0,14,14,2,0,0,0,0,2,16,9,0,0,0,0,0,11,16,2,0,0,0,0,4,16,8,0,0,0,0,0,13,16,11,8,8,3,0,0,6,16,16,16,16,7,0,2
13,0,0,15,15,2,0,0,0,0,0,8,15,11,0,0,0,0,0,0,12,14,0,0,0,0,0,7,12,16,13,9,0,0,7,16,16,16,10,5,0,0,1,5,16,14,0,0,0,0,0,9,15,3,0,0,0,0,2,16,4,0,0,0,0,7
14,0,1,12,16,5,0,0,0,0,11,16,16,11,0,0,0,0,6,5,16,11,0,0,0,0,0,2,16,7,0,0,0,0,0,8,16,3,0,0,0,0,1,13,14,0,2,1,0,0,4,16,16,16,16,10,0,0,0,15,16,14,9,3,0,2
15,0,0,0,9,6,0,0,0,0,0,3,15,5,0,0,0,0,0,14,9,0,0,0,0,0,2,16,6,8,2,0,0,0,5,16,16,12,15,4,0,0,3,16,5,0,5,12,0,0,0,8,14,3,3,16,0,0,0,0,9,16,16,10,0,6
16,0,0,7,12,16,9,0,0,0,4,16,6,7,3,0,0,0,4,16,2,8,3,0,0,0,7,16,15,13,16,3,0,0,5,11,1,1,16,8,0,0,0,0,0,7,16,0,0,0,0,0,10,16,6,0,0,0,0,10,11,4,0,0,0,5
17,0,0,6,15,16,6,0,0,0,5,15,16,16,11,0,0,0,8,16,16,16,9,0,0,0,0,4,16,16,6,0,0,0,0,2,16,16,0,0,0,0,0,8,16,16,2,0,0,0,0,11,16,16,13,2,0,0,0,5,13,11,8,2,0,1
18,0,3,14,16,4,0,0,0,0,8,10,11,11,0,0,0,0,5,9,0,13,2,0,0,0,0,0,0,12,4,0,0,0,0,0,2,15,1,0,0,0,0,0,14,11,0,0,0,0,1,13,16,14,12,6,0,0,2,12,12,12,12,11,0,2
19,0,0,3,14,11,1,0,0,0,1,15,10,16,5,0,0,0,2,10,2,16,3,0,0,0,0,0,1,16,6,0,0,0,0,0,0,9,15,3,0,0,0,6,0,0,10,9,0,0,2,16,7,4,13,10,0,0,0,5,11,14,11,1,0,3
20,0,0,4,13,13,13,3,0,0,3,16,9,12,16,8,0,0,7,14,0,4,16,5,0,0,2,15,13,15,11,0,0,0,0,10,16,16,10,0,0,0,1,16,5,3,16,4,0,0,0,15,10,5,16,7,0,0,0,5,16,16,9,0,0,8
21,0,1,9,13,14,13,8,0,0,4,14,4,4,4,2,0,0,4,12,0,0,0,0,0,0,5,15,16,16,6,0,0,0,0,4,0,4,16,3,0,0,0,0,0,0,13,7,0,0,0,3,2,5,16,6,0,0,0,10,16,15,8,1,0,5
22,0,0,9,15,16,4,0,0,0,0,8,7,6,16,0,0,0,0,0,0,10,12,0,0,0,0,3,15,15,1,0,0,0,0,1,9,12,11,2,0,0,0,0,0,0,5,10,0,0,0,12,4,4,6,15,0,0,0,5,11,12,12,6,0,3
23,0,0,0,12,7,0,0,0,0,0,7,16,3,0,0,0,0,2,15,6,0,0,0,0,0,4,16,10,7,0,0,0,0,5,16,16,16,12,0,0,0,6,16,9,5,16,3,0,0,1,14,15,11,16,3,0,0,0,1,10,16,7,0,0,6
24,0,0,3,16,13,2,0,0,0,0,11,7,7,12,0,0,0,2,16,1,0,9,3,0,0,5,13,1,0,6,6,0,0,7,6,0,0,5,8,0,0,4,8,0,0,10,5,0,0,1,13,5,8,15,1,0,0,0,4,15,15,4,0,0,0
25,0,0,0,10,12,0,0,0,0,0,8,16,9,4,0,0,0,0,15,10,0,0,0,0,0,2,16,6,0,0,0,0,0,3,16,10,10,0,0,0,0,1,15,16,16,10,0,0,0,0,9,13,11,16,3,0,0,0,1,9,15,13,0,0,6
26,0,0,0,0,10,7,0,0,0,0,0,0,15,5,0,0,0,0,0,4,16,3,0,0,0,0,0,7,15,3,0,0,0,3,7,14,12,16,1,0,1,14,16,16,16,15,0,0,0,9,10,14,16,16,0,0,0,0,0,0,12,9,0,0,4
27,0,0,0,6,16,3,0,0,0,0,2,15,10,11,5,0,0,0,13,9,4,16,3,0,0,4,15,4,9,16,3,0,0,11,15,12,16,16,10,0,0,5,15,14,16,9,0,0,0,0,0,7,13,1,0,0,0,0,0,9,9,0,0,0,4
28,0,0,0,1,11,9,0,0,0,0,0,7,16,13,0,0,0,0,4,14,16,9,0,0,0,10,16,11,16,8,0,0,0,0,0,3,16,6,0,0,0,0,0,3,16,8,0,0,0,0,0,5,16,10,0,0,0,0,0,2,14,6,0,0,1
29,0,0,3,12,15,16,8,0,0,0,11,14,13,16,4,0,0,0,0,0,11,11,0,0,0,0,0,3,16,5,0,0,0,2,12,16,16,16,7,0,0,0,10,16,10,5,1,0,0,0,5,16,3,0,0,0,0,0,3,16,1,0,0,0,7
30,0,0,3,14,16,11,0,0,0,2,15,13,14,13,0,0,0,0,4,0,8,14,5,0,0,0,5,13,16,16,14,0,0,0,12,15,16,9,2,0,0,0,1,9,13,0,0,0,0,0,0,16,6,0,0,0,0,0,4,13,0,0,0,0,7
31,0,0,4,15,13,1,0,0,0,0,11,12,13,9,0,0,0,2,15,4,1,16,1,0,0,4,16,3,0,10,6,0,0,3,15,2,0,8,8,0,0,3,16,1,0,12,6,0,0,0,13,11,9,15,1,0,0,0,4,13,13,2,0,0,0
32,0,2,11,16,15,2,0,0,0,12,15,12,16,4,0,0,0,3,3,6,16,2,0,0,0,0,2,15,12,0,0,0,0,0,3,16,16,12,1,0,0,0,0,1,6,15,10,0,0,0,6,12,8,14,11,0,0,1,16,16,16,11,3,0,3
33,0,0,0,6,15,1,0,0,0,0,4,16,3,0,0,0,0,0,12,8,0,0,0,0,0,7,15,1,0,5,9,0,0,9,16,0,6,15,10,0,0,10,16,16,16,14,0,0,0,2,5,7,16,7,0,0,0,0,0,6,15,1,0,0,4
